image,variant,num_detections
000000000001,3Region_Base,4
000000000001,3Region_Edge12,4
000000000001,3Region_Thr1035,4
000000000001,3Region_Thr2055_Edge12,4
000000000001,Bicubic,3
000000000001,HR,4
000000000001,SRCNN_x4_Adaptive,4
000000000001,SRCNN_x4_V4,5
000000000016,3Region_Base,4
000000000016,3Region_Edge12,4
000000000016,3Region_Thr1035,4
000000000016,3Region_Thr2055_Edge12,4
000000000016,Bicubic,4
000000000016,HR,4
000000000016,SRCNN_x4_Adaptive,4
000000000016,SRCNN_x4_V4,4
000000000019,3Region_Base,2
000000000019,3Region_Edge12,2
000000000019,3Region_Thr1035,2
000000000019,3Region_Thr2055_Edge12,2
000000000019,Bicubic,2
000000000019,HR,2
000000000019,SRCNN_x4_Adaptive,2
000000000019,SRCNN_x4_V4,2
000000000057,3Region_Base,3
000000000057,3Region_Edge12,3
000000000057,3Region_Thr1035,3
000000000057,3Region_Thr2055_Edge12,3
000000000057,Bicubic,3
000000000057,HR,3
000000000057,SRCNN_x4_Adaptive,3
000000000057,SRCNN_x4_V4,3
000000000063,3Region_Base,4
000000000063,3Region_Edge12,4
000000000063,3Region_Thr1035,4
000000000063,3Region_Thr2055_Edge12,4
000000000063,Bicubic,4
000000000063,HR,4
000000000063,SRCNN_x4_Adaptive,4
000000000063,SRCNN_x4_V4,4
000000000069,3Region_Base,9
000000000069,3Region_Edge12,9
000000000069,3Region_Thr1035,9
000000000069,3Region_Thr2055_Edge12,9
000000000069,Bicubic,10
000000000069,HR,9
000000000069,SRCNN_x4_Adaptive,9
000000000069,SRCNN_x4_V4,10
000000000080,3Region_Base,1
000000000080,3Region_Edge12,1
000000000080,3Region_Thr1035,1
000000000080,3Region_Thr2055_Edge12,1
000000000080,Bicubic,1
000000000080,HR,3
000000000080,SRCNN_x4_Adaptive,1
000000000080,SRCNN_x4_V4,1
000000000090,3Region_Base,1
000000000090,3Region_Edge12,1
000000000090,3Region_Thr1035,1
000000000090,3Region_Thr2055_Edge12,1
000000000090,Bicubic,1
000000000090,HR,1
000000000090,SRCNN_x4_Adaptive,1
000000000090,SRCNN_x4_V4,1
000000000106,3Region_Base,3
000000000106,3Region_Edge12,3
000000000106,3Region_Thr1035,3
000000000106,3Region_Thr2055_Edge12,2
000000000106,Bicubic,2
000000000106,HR,2
000000000106,SRCNN_x4_Adaptive,2
000000000106,SRCNN_x4_V4,2
000000000108,3Region_Base,1
000000000108,3Region_Edge12,1
000000000108,3Region_Thr1035,1
000000000108,3Region_Thr2055_Edge12,1
000000000108,Bicubic,1
000000000108,HR,1
000000000108,SRCNN_x4_Adaptive,1
000000000108,SRCNN_x4_V4,1
000000000128,3Region_Base,2
000000000128,3Region_Edge12,2
000000000128,3Region_Thr1035,2
000000000128,3Region_Thr2055_Edge12,2
000000000128,Bicubic,2
000000000128,HR,1
000000000128,SRCNN_x4_Adaptive,2
000000000128,SRCNN_x4_V4,2
000000000155,3Region_Base,1
000000000155,3Region_Edge12,1
000000000155,3Region_Thr1035,1
000000000155,3Region_Thr2055_Edge12,1
000000000155,Bicubic,1
000000000155,HR,2
000000000155,SRCNN_x4_Adaptive,1
000000000155,SRCNN_x4_V4,1
000000000161,3Region_Base,3
000000000161,3Region_Edge12,3
000000000161,3Region_Thr1035,3
000000000161,3Region_Thr2055_Edge12,3
000000000161,Bicubic,3
000000000161,HR,4
000000000161,SRCNN_x4_Adaptive,3
000000000161,SRCNN_x4_V4,3
000000000171,3Region_Base,3
000000000171,3Region_Edge12,3
000000000171,3Region_Thr1035,3
000000000171,3Region_Thr2055_Edge12,3
000000000171,Bicubic,2
000000000171,HR,2
000000000171,SRCNN_x4_Adaptive,3
000000000171,SRCNN_x4_V4,3
000000000178,3Region_Base,2
000000000178,3Region_Edge12,2
000000000178,3Region_Thr1035,2
000000000178,3Region_Thr2055_Edge12,2
000000000178,Bicubic,2
000000000178,HR,2
000000000178,SRCNN_x4_Adaptive,2
000000000178,SRCNN_x4_V4,2
000000000180,3Region_Base,1
000000000180,3Region_Edge12,1
000000000180,3Region_Thr1035,1
000000000180,3Region_Thr2055_Edge12,1
000000000180,Bicubic,1
000000000180,HR,1
000000000180,SRCNN_x4_Adaptive,1
000000000180,SRCNN_x4_V4,2
000000000183,3Region_Base,4
000000000183,3Region_Edge12,4
000000000183,3Region_Thr1035,4
000000000183,3Region_Thr2055_Edge12,4
000000000183,Bicubic,4
000000000183,HR,5
000000000183,SRCNN_x4_Adaptive,4
000000000183,SRCNN_x4_V4,4
000000000188,3Region_Base,2
000000000188,3Region_Edge12,2
000000000188,3Region_Thr1035,2
000000000188,3Region_Thr2055_Edge12,2
000000000188,Bicubic,2
000000000188,HR,2
000000000188,SRCNN_x4_Adaptive,2
000000000188,SRCNN_x4_V4,2
000000000191,3Region_Base,1
000000000191,3Region_Edge12,1
000000000191,3Region_Thr1035,1
000000000191,3Region_Thr2055_Edge12,1
000000000191,Bicubic,1
000000000191,HR,1
000000000191,SRCNN_x4_Adaptive,1
000000000191,SRCNN_x4_V4,1
000000000202,3Region_Base,5
000000000202,3Region_Edge12,5
000000000202,3Region_Thr1035,5
000000000202,3Region_Thr2055_Edge12,5
000000000202,Bicubic,4
000000000202,HR,5
000000000202,SRCNN_x4_Adaptive,4
000000000202,SRCNN_x4_V4,4
IMG_2289_jpeg_jpg.rf.fe2a7a149e7b11f2313f5a7b30386e85,3Region_Base,1
IMG_2289_jpeg_jpg.rf.fe2a7a149e7b11f2313f5a7b30386e85,3Region_Edge12,1
IMG_2289_jpeg_jpg.rf.fe2a7a149e7b11f2313f5a7b30386e85,3Region_Thr1035,1
IMG_2289_jpeg_jpg.rf.fe2a7a149e7b11f2313f5a7b30386e85,3Region_Thr2055_Edge12,1
IMG_2289_jpeg_jpg.rf.fe2a7a149e7b11f2313f5a7b30386e85,Bicubic,1
IMG_2289_jpeg_jpg.rf.fe2a7a149e7b11f2313f5a7b30386e85,HR,1
IMG_2289_jpeg_jpg.rf.fe2a7a149e7b11f2313f5a7b30386e85,SRCNN_x4_Adaptive,1
IMG_2289_jpeg_jpg.rf.fe2a7a149e7b11f2313f5a7b30386e85,SRCNN_x4_V4,1
IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695,3Region_Base,3
IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695,3Region_Edge12,3
IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695,3Region_Thr1035,4
IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695,3Region_Thr2055_Edge12,3
IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695,Bicubic,4
IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695,HR,1
IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695,SRCNN_x4_Adaptive,3
IMG_2301_jpeg_jpg.rf.2c19ae5efbd1f8611b5578125f001695,SRCNN_x4_V4,3
IMG_2319_jpeg_jpg.rf.6e20bf97d17b74a8948aa48776c40454,3Region_Base,1
IMG_2319_jpeg_jpg.rf.6e20bf97d17b74a8948aa48776c40454,3Region_Edge12,1
IMG_2319_jpeg_jpg.rf.6e20bf97d17b74a8948aa48776c40454,3Region_Thr1035,1
IMG_2319_jpeg_jpg.rf.6e20bf97d17b74a8948aa48776c40454,3Region_Thr2055_Edge12,1
IMG_2319_jpeg_jpg.rf.6e20bf97d17b74a8948aa48776c40454,Bicubic,2
IMG_2319_jpeg_jpg.rf.6e20bf97d17b74a8948aa48776c40454,HR,1
IMG_2319_jpeg_jpg.rf.6e20bf97d17b74a8948aa48776c40454,SRCNN_x4_Adaptive,2
IMG_2319_jpeg_jpg.rf.6e20bf97d17b74a8948aa48776c40454,SRCNN_x4_V4,1
IMG_2347_jpeg_jpg.rf.7c71ac4b9301eb358cd4a832844dedcb,3Region_Base,2
IMG_2347_jpeg_jpg.rf.7c71ac4b9301eb358cd4a832844dedcb,3Region_Edge12,2
IMG_2347_jpeg_jpg.rf.7c71ac4b9301eb358cd4a832844dedcb,3Region_Thr1035,2
IMG_2347_jpeg_jpg.rf.7c71ac4b9301eb358cd4a832844dedcb,3Region_Thr2055_Edge12,2
IMG_2347_jpeg_jpg.rf.7c71ac4b9301eb358cd4a832844dedcb,Bicubic,2
IMG_2347_jpeg_jpg.rf.7c71ac4b9301eb358cd4a832844dedcb,HR,2
IMG_2347_jpeg_jpg.rf.7c71ac4b9301eb358cd4a832844dedcb,SRCNN_x4_Adaptive,2
IMG_2347_jpeg_jpg.rf.7c71ac4b9301eb358cd4a832844dedcb,SRCNN_x4_V4,2
IMG_2354_jpeg_jpg.rf.396e872c7fb0a95e911806986995ee7a,3Region_Base,0
IMG_2354_jpeg_jpg.rf.396e872c7fb0a95e911806986995ee7a,3Region_Edge12,0
IMG_2354_jpeg_jpg.rf.396e872c7fb0a95e911806986995ee7a,3Region_Thr1035,0
IMG_2354_jpeg_jpg.rf.396e872c7fb0a95e911806986995ee7a,3Region_Thr2055_Edge12,0
IMG_2354_jpeg_jpg.rf.396e872c7fb0a95e911806986995ee7a,Bicubic,0
IMG_2354_jpeg_jpg.rf.396e872c7fb0a95e911806986995ee7a,HR,0
IMG_2354_jpeg_jpg.rf.396e872c7fb0a95e911806986995ee7a,SRCNN_x4_Adaptive,0
IMG_2354_jpeg_jpg.rf.396e872c7fb0a95e911806986995ee7a,SRCNN_x4_V4,0
IMG_2371_jpeg_jpg.rf.54505f60b6706da151c164188c305849,3Region_Base,0
IMG_2371_jpeg_jpg.rf.54505f60b6706da151c164188c305849,3Region_Edge12,0
IMG_2371_jpeg_jpg.rf.54505f60b6706da151c164188c305849,3Region_Thr1035,0
IMG_2371_jpeg_jpg.rf.54505f60b6706da151c164188c305849,3Region_Thr2055_Edge12,0
IMG_2371_jpeg_jpg.rf.54505f60b6706da151c164188c305849,Bicubic,0
IMG_2371_jpeg_jpg.rf.54505f60b6706da151c164188c305849,HR,2
IMG_2371_jpeg_jpg.rf.54505f60b6706da151c164188c305849,SRCNN_x4_Adaptive,0
IMG_2371_jpeg_jpg.rf.54505f60b6706da151c164188c305849,SRCNN_x4_V4,0
IMG_2379_jpeg_jpg.rf.7dc3160c937072d26d4624c6c48e904d,3Region_Base,2
IMG_2379_jpeg_jpg.rf.7dc3160c937072d26d4624c6c48e904d,3Region_Edge12,2
IMG_2379_jpeg_jpg.rf.7dc3160c937072d26d4624c6c48e904d,3Region_Thr1035,1
IMG_2379_jpeg_jpg.rf.7dc3160c937072d26d4624c6c48e904d,3Region_Thr2055_Edge12,1
IMG_2379_jpeg_jpg.rf.7dc3160c937072d26d4624c6c48e904d,Bicubic,2
IMG_2379_jpeg_jpg.rf.7dc3160c937072d26d4624c6c48e904d,HR,2
IMG_2379_jpeg_jpg.rf.7dc3160c937072d26d4624c6c48e904d,SRCNN_x4_Adaptive,1
IMG_2379_jpeg_jpg.rf.7dc3160c937072d26d4624c6c48e904d,SRCNN_x4_V4,1
IMG_2380_jpeg_jpg.rf.a23809682eb1466c1136ca0f55de8fb5,3Region_Base,1
IMG_2380_jpeg_jpg.rf.a23809682eb1466c1136ca0f55de8fb5,3Region_Edge12,1
IMG_2380_jpeg_jpg.rf.a23809682eb1466c1136ca0f55de8fb5,3Region_Thr1035,1
IMG_2380_jpeg_jpg.rf.a23809682eb1466c1136ca0f55de8fb5,3Region_Thr2055_Edge12,1
IMG_2380_jpeg_jpg.rf.a23809682eb1466c1136ca0f55de8fb5,Bicubic,0
IMG_2380_jpeg_jpg.rf.a23809682eb1466c1136ca0f55de8fb5,HR,1
IMG_2380_jpeg_jpg.rf.a23809682eb1466c1136ca0f55de8fb5,SRCNN_x4_Adaptive,0
IMG_2380_jpeg_jpg.rf.a23809682eb1466c1136ca0f55de8fb5,SRCNN_x4_V4,1
IMG_2387_jpeg_jpg.rf.09b38bacfab0922a3a6b66480f01b719,3Region_Base,1
IMG_2387_jpeg_jpg.rf.09b38bacfab0922a3a6b66480f01b719,3Region_Edge12,1
IMG_2387_jpeg_jpg.rf.09b38bacfab0922a3a6b66480f01b719,3Region_Thr1035,1
IMG_2387_jpeg_jpg.rf.09b38bacfab0922a3a6b66480f01b719,3Region_Thr2055_Edge12,1
IMG_2387_jpeg_jpg.rf.09b38bacfab0922a3a6b66480f01b719,Bicubic,1
IMG_2387_jpeg_jpg.rf.09b38bacfab0922a3a6b66480f01b719,HR,0
IMG_2387_jpeg_jpg.rf.09b38bacfab0922a3a6b66480f01b719,SRCNN_x4_Adaptive,1
IMG_2387_jpeg_jpg.rf.09b38bacfab0922a3a6b66480f01b719,SRCNN_x4_V4,1
IMG_2395_jpeg_jpg.rf.9f1503ad3b7a7c7938daed057cc4e9bc,3Region_Base,0
IMG_2395_jpeg_jpg.rf.9f1503ad3b7a7c7938daed057cc4e9bc,3Region_Edge12,0
IMG_2395_jpeg_jpg.rf.9f1503ad3b7a7c7938daed057cc4e9bc,3Region_Thr1035,0
IMG_2395_jpeg_jpg.rf.9f1503ad3b7a7c7938daed057cc4e9bc,3Region_Thr2055_Edge12,0
IMG_2395_jpeg_jpg.rf.9f1503ad3b7a7c7938daed057cc4e9bc,Bicubic,0
IMG_2395_jpeg_jpg.rf.9f1503ad3b7a7c7938daed057cc4e9bc,HR,1
IMG_2395_jpeg_jpg.rf.9f1503ad3b7a7c7938daed057cc4e9bc,SRCNN_x4_Adaptive,0
IMG_2395_jpeg_jpg.rf.9f1503ad3b7a7c7938daed057cc4e9bc,SRCNN_x4_V4,1
